request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_39,73293.96,affordable_later,wait,2026-05-15:208600,2026-05-15,none,Pay INR 208600 in full on 15 May 2026. Waiting for confirmed income settlements eliminates financing fees and protects your INR 213400 minimum balance.
request_40,391.95,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Pay EUR 1,290.30 in full on 15 August 2024. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 1500 minimum balance."
request_41,10090088.09,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Pay IDR 38760000 in full on 15 January 2026. Waiting for confirmed income settlements eliminates financing fees and protects your IDR 25366600 minimum balance.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This full upfront payment preserves your INR 113100 minimum emergency buffer and avoids financing costs.
request_43,8656336.1,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Pay IDR 43339000 in full on 15 November 2024. Waiting for confirmed income settlements eliminates financing fees and protects your IDR 21398000 minimum balance.
request_44,29769.54,affordable_later,wait,2025-04-15:95800,2025-04-15,none,Pay INR 95800 in full on 15 April 2025. Waiting for confirmed income settlements eliminates financing fees and protects your INR 82900 minimum balance.
request_45,4011204.14,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21983000 in full on 15 September 2026. Waiting for confirmed income settlements eliminates financing fees and protects your IDR 11149800 minimum balance.
request_46,40278.33,affordable_with_plan,partial_payment,2024-12-03:40278.33|2024-12-15:9171.67,2024-12-15,none,"Pay INR 40,278.33 today and the remaining INR 9171.67 on 15 December 2024. This split schedule preserves your INR 84000 reserve across all payment dates."
request_47,37026246.19,affordable_with_plan,full_payment,2025-05-05:38114000,,stop:event_4339,This purchase becomes affordable by reducing flexible expenses (stop:event_4339). Reallocating discretionary spending unlocks the headroom required to keep your IDR 30049000 buffer safe.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This full upfront payment preserves your INR 71300 minimum emergency buffer and avoids financing costs.
request_49,12309742.17,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11902106.67, starting 18 March 2024. Spreading payments maintains your IDR 20275700 safety buffer while meeting scheduled obligations."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This full upfront payment preserves your INR 99700 minimum emergency buffer and avoids financing costs.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This full upfront payment preserves your IDR 7811000 minimum emergency buffer and avoids financing costs.
request_52,19189.7,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870 in full on 15 June 2024. Waiting for confirmed income settlements eliminates financing fees and protects your INR 41500 minimum balance.
request_53,523.71,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. Spreading payments maintains your USD 2100 safety buffer while meeting scheduled obligations."
request_54,3054.67,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 121528 would breach your ZAR 37000 minimum balance floor.
request_55,125500.29,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75781.33, starting 11 June 2026. Spreading payments maintains your INR 124300 safety buffer while meeting scheduled obligations."
request_56,619.62,affordable_with_plan,partial_payment,2025-02-03:619.62|2025-02-15:261.94,2025-02-15,none,Pay USD 619.62 today and the remaining USD 261.94 on 15 February 2025. This split schedule preserves your USD 2100 reserve across all payment dates.
request_57,13606.24,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Pay ZAR 61446 in full on 15 June 2026. Waiting for confirmed income settlements eliminates financing fees and protects your ZAR 42700 minimum balance.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This full upfront payment preserves your IDR 14433900 minimum emergency buffer and avoids financing costs.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 7 May 2025. Spreading payments maintains your INR 132600 safety buffer while meeting scheduled obligations."
request_60,158.5,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Waiting for confirmed income settlements eliminates financing fees and protects your USD 400 minimum balance.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. Spreading payments maintains your ZAR 36700 safety buffer while meeting scheduled obligations."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This full upfront payment preserves your USD 1300 minimum emergency buffer and avoids financing costs.
request_63,56295.05,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 343900 would breach your INR 153500 minimum balance floor.
request_64,0.0,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 63700 would breach your INR 36100 minimum balance floor.
request_65,5959.1,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 54340 would breach your ZAR 15500 minimum balance floor.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This full upfront payment preserves your INR 80700 minimum emergency buffer and avoids financing costs.
request_67,443.35,affordable_later,wait,2024-10-15:2094,2024-10-15,none,Pay USD 2094 in full on 15 October 2024. Waiting for confirmed income settlements eliminates financing fees and protects your USD 1200 minimum balance.
request_68,1293.63,not_affordable,not_recommended,none,2025-04-23,none,"Not safely affordable within the 90-day forecast. Paying USD 2,091.60 would breach your USD 1500 minimum balance floor."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This full upfront payment preserves your EUR 700 minimum emergency buffer and avoids financing costs.
request_70,51205.32,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Pay INR 243900 in full on 15 February 2025. Waiting for confirmed income settlements eliminates financing fees and protects your INR 115000 minimum balance.
request_71,1271435.55,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 21451000 would breach your IDR 8884800 minimum balance floor.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This full upfront payment preserves your ZAR 12200 minimum emergency buffer and avoids financing costs.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This full upfront payment preserves your INR 103200 minimum emergency buffer and avoids financing costs.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This full upfront payment preserves your ZAR 21900 minimum emergency buffer and avoids financing costs.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 9 April 2026. Spreading payments maintains your ZAR 39000 safety buffer while meeting scheduled obligations."
request_76,708.04,not_affordable,not_recommended,none,2024-08-19,none,"Not safely affordable within the 90-day forecast. Paying USD 4,455.60 would breach your USD 1800 minimum balance floor."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This full upfront payment preserves your INR 82200 minimum emergency buffer and avoids financing costs.
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. This full upfront payment preserves your INR 55200 minimum emergency buffer and avoids financing costs.
request_79,396.18,not_affordable,not_recommended,none,2024-11-15,none,"Not safely affordable within the 90-day forecast. Paying EUR 2,151.60 would breach your EUR 1000 minimum balance floor."
request_80,106045.95,not_affordable,not_recommended,none,2025-04-19,none,Not safely affordable within the 90-day forecast. Paying INR 217500 would breach your INR 121300 minimum balance floor.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This full upfront payment preserves your USD 1600 minimum emergency buffer and avoids financing costs.
request_82,453.86,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Waiting for confirmed income settlements eliminates financing fees and protects your USD 1100 minimum balance."
request_83,6490.99,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 156200 would breach your INR 37800 minimum balance floor.
request_84,30753.75,affordable_later,wait,2026-05-15:95400,2026-05-15,none,Pay INR 95400 in full on 15 May 2026. Waiting for confirmed income settlements eliminates financing fees and protects your INR 91300 minimum balance.
request_85,589017.66,not_affordable,not_recommended,none,2024-05-15,none,Not safely affordable within the 90-day forecast. Paying IDR 19304000 would breach your IDR 6396300 minimum balance floor.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This full upfront payment preserves your INR 84900 minimum emergency buffer and avoids financing costs.
request_87,37729.67,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 487900 would breach your INR 185900 minimum balance floor.
request_88,10857.22,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. Spreading payments maintains your ZAR 25800 safety buffer while meeting scheduled obligations."
request_89,9730168.71,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,"Use 3 installments of IDR 4768746.67, starting 18 November 2025. Spreading payments maintains your IDR 12534700 safety buffer while meeting scheduled obligations."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This full upfront payment preserves your ZAR 7600 minimum emergency buffer and avoids financing costs.
request_91,556.44,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 2100 minimum balance."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This full upfront payment preserves your ZAR 28100 minimum emergency buffer and avoids financing costs.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This full upfront payment preserves your USD 1900 minimum emergency buffer and avoids financing costs."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This full upfront payment preserves your EUR 600 minimum emergency buffer and avoids financing costs.
request_95,8935.21,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 553000 would breach your INR 145500 minimum balance floor.
request_96,75139.12,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31269.33, starting 10 January 2026. Spreading payments maintains your INR 56500 safety buffer while meeting scheduled obligations."
request_97,1436.15,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. Spreading payments maintains your ZAR 29700 safety buffer while meeting scheduled obligations."
request_98,0.0,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 27148 would breach your ZAR 30000 minimum balance floor.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This full upfront payment preserves your ZAR 49100 minimum emergency buffer and avoids financing costs.
request_100,27657.02,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. Spreading payments maintains your ZAR 32500 safety buffer while meeting scheduled obligations."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This full upfront payment preserves your INR 187400 minimum emergency buffer and avoids financing costs.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. Spreading payments maintains your EUR 900 safety buffer while meeting scheduled obligations."
request_103,10645.66,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 368300 would breach your INR 125500 minimum balance floor.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This full upfront payment preserves your ZAR 24700 minimum emergency buffer and avoids financing costs.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This full upfront payment preserves your INR 73900 minimum emergency buffer and avoids financing costs.
request_106,439.31,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 1200 minimum balance."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. Spreading payments maintains your EUR 1600 safety buffer while meeting scheduled obligations."
request_108,1958.98,affordable_later,wait,2026-09-19:55308,2026-09-19,none,Pay ZAR 55308 in full on 19 September 2026. Waiting for confirmed income settlements eliminates financing fees and protects your ZAR 24100 minimum balance.
request_109,704.71,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. Spreading payments maintains your EUR 1700 safety buffer while meeting scheduled obligations."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. Spreading payments maintains your ZAR 11200 safety buffer while meeting scheduled obligations."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This full upfront payment preserves your IDR 23022800 minimum emergency buffer and avoids financing costs.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This full upfront payment preserves your EUR 500 minimum emergency buffer and avoids financing costs.
request_113,32419.28,affordable_later,wait,2026-09-15:36500,2026-09-15,none,Pay INR 36500 in full on 15 September 2026. Waiting for confirmed income settlements eliminates financing fees and protects your INR 82300 minimum balance.
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This full upfront payment preserves your INR 113400 minimum emergency buffer and avoids financing costs.
request_115,14387.98,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Pay INR 80500 in full on 15 November 2024. Waiting for confirmed income settlements eliminates financing fees and protects your INR 38800 minimum balance.
request_116,13181.25,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 241200 would breach your INR 80300 minimum balance floor.
request_117,872.89,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,This purchase becomes affordable by reducing flexible expenses (stop:event_10833). Reallocating discretionary spending unlocks the headroom required to keep your EUR 1000 buffer safe.
request_118,697.52,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. Spreading payments maintains your EUR 600 safety buffer while meeting scheduled obligations."
request_119,58605.98,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70546.67, starting 18 May 2025. Spreading payments maintains your INR 151200 safety buffer while meeting scheduled obligations."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This full upfront payment preserves your IDR 20050300 minimum emergency buffer and avoids financing costs.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This full upfront payment preserves your USD 800 minimum emergency buffer and avoids financing costs.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. Spreading payments maintains your IDR 12588500 safety buffer while meeting scheduled obligations."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This full upfront payment preserves your IDR 18091200 minimum emergency buffer and avoids financing costs.
request_124,1376.36,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. Spreading payments maintains your EUR 1600 safety buffer while meeting scheduled obligations."
request_125,0.0,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 6468 would breach your ZAR 11300 minimum balance floor.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This full upfront payment preserves your INR 129700 minimum emergency buffer and avoids financing costs.
request_127,12638.94,affordable_later,wait,2024-09-15:23980,2024-09-15,none,Pay ZAR 23980 in full on 15 September 2024. Waiting for confirmed income settlements eliminates financing fees and protects your ZAR 41000 minimum balance.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This full upfront payment preserves your ZAR 42600 minimum emergency buffer and avoids financing costs.
request_129,133.49,not_affordable,not_recommended,none,,none,"Not safely affordable within the 90-day forecast. Paying USD 2,668.80 would breach your USD 800 minimum balance floor."
request_130,466.92,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Waiting for confirmed income settlements eliminates financing fees and protects your USD 1400 minimum balance."
request_131,1141.56,not_affordable,not_recommended,none,2025-06-23,none,"Not safely affordable within the 90-day forecast. Paying USD 1,855.20 would breach your USD 1100 minimum balance floor."
request_132,369.39,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,Pay USD 379.86 in full on 15 January 2026. Waiting for confirmed income settlements eliminates financing fees and protects your USD 1100 minimum balance.
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,Not safely affordable within the 90-day forecast. Paying IDR 15770000 would breach your IDR 9986200 minimum balance floor.
request_134,5150931.79,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,Pay IDR 21831000 in full on 15 October 2025. Waiting for confirmed income settlements eliminates financing fees and protects your IDR 15902500 minimum balance.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This full upfront payment preserves your USD 500 minimum emergency buffer and avoids financing costs.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today. This full upfront payment preserves your USD 1100 minimum emergency buffer and avoids financing costs.
request_137,30472.66,affordable_later,wait,2026-01-15:80100,2026-01-15,none,Pay INR 80100 in full on 15 January 2026. Waiting for confirmed income settlements eliminates financing fees and protects your INR 71800 minimum balance.
request_138,842.95,affordable_with_plan,partial_payment,2026-04-07:842.95|2026-04-15:413.99,2026-04-15,none,Pay EUR 842.95 today and the remaining EUR 413.99 on 15 April 2026. This split schedule preserves your EUR 2300 reserve across all payment dates.
request_139,1456.21,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. Spreading payments maintains your USD 1500 safety buffer while meeting scheduled obligations."
request_140,1966.76,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 62832 would breach your ZAR 21600 minimum balance floor.
request_141,28000.97,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 171600 would breach your INR 67300 minimum balance floor.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This full upfront payment preserves your USD 1700 minimum emergency buffer and avoids financing costs."
request_143,3532.68,affordable_later,wait,2025-07-15:12584,2025-07-15,none,Pay ZAR 12584 in full on 15 July 2025. Waiting for confirmed income settlements eliminates financing fees and protects your ZAR 11300 minimum balance.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This full upfront payment preserves your USD 600 minimum emergency buffer and avoids financing costs.
request_145,40301.67,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments of INR 75365.33, starting 20 March 2024. Spreading payments maintains your INR 155400 safety buffer while meeting scheduled obligations."
request_146,14522.47,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 449400 would breach your INR 108600 minimum balance floor.
request_147,537.34,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. Spreading payments maintains your EUR 900 safety buffer while meeting scheduled obligations."
request_148,7755.64,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7710.56, starting 14 June 2024. Spreading payments maintains your ZAR 20000 safety buffer while meeting scheduled obligations."
request_149,23193.17,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. Spreading payments maintains your ZAR 42100 safety buffer while meeting scheduled obligations."
request_150,375.2,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. Spreading payments maintains your EUR 700 safety buffer while meeting scheduled obligations."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This full upfront payment preserves your IDR 31633600 minimum emergency buffer and avoids financing costs.
request_152,11119.17,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-15,none,"Use 3 installments of ZAR 4812.43, starting 12 February 2025. Spreading payments maintains your ZAR 11900 safety buffer while meeting scheduled obligations."
request_153,221.32,not_affordable,not_recommended,none,,none,"Not safely affordable within the 90-day forecast. Paying USD 2,830.80 would breach your USD 1400 minimum balance floor."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. Spreading payments maintains your EUR 1300 safety buffer while meeting scheduled obligations."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This full upfront payment preserves your INR 56300 minimum emergency buffer and avoids financing costs.
request_156,8685.91,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Pay ZAR 43076 in full on 15 June 2026. Waiting for confirmed income settlements eliminates financing fees and protects your ZAR 26900 minimum balance.
request_157,4474602.59,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,Pay IDR 23503000 in full on 15 April 2024. Waiting for confirmed income settlements eliminates financing fees and protects your IDR 15714100 minimum balance.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. Spreading payments maintains your INR 131400 safety buffer while meeting scheduled obligations."
request_159,7752.77,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 13398 would breach your ZAR 8700 minimum balance floor.
request_160,575.55,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. Spreading payments maintains your EUR 1200 safety buffer while meeting scheduled obligations."
request_161,0.0,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 21204000 would breach your IDR 23010400 minimum balance floor.
request_162,2431490.05,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 83923000 would breach your IDR 24161100 minimum balance floor.
request_163,11758186.68,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6692053.33, starting 10 September 2024. Spreading payments maintains your IDR 26728700 safety buffer while meeting scheduled obligations."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. Spreading payments maintains your IDR 29550500 safety buffer while meeting scheduled obligations."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This full upfront payment preserves your INR 95000 minimum emergency buffer and avoids financing costs.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. Spreading payments maintains your USD 1700 safety buffer while meeting scheduled obligations."
